ENSG00000171223	0.60129	0.00425078	0.679781	0.53306	243.571	12	2.18481	10.6632	6.99927	0.27577
ENSG00000102034	0.613489	0.00466625	0.682543	0.549295	164.809	12	2.66524	15.5343	8.37548	0.473895
ENSG00000118263	0.687824	0.00810898	0.80662	0.570055	31.1255	9	2.63072	14.3461	8.79131	0.403714
ENSG00000185507	0.625201	0.00319066	0.704057	0.558913	764.486	14	2.10855	10.1907	7.15362	0.39052
ENSG00000213928	0.555882	-nan	0.640579	0.490147	294.987	15	1.94824	-nan	6.13326	0.469887
ENSG00000107175	0.578043	-nan	0.649454	0.524362	32.2424	14	2.69959	-nan	9.22121	0.338791
ENSG00000081059	0.531062	-nan	0.59384	0.470281	231.295	11	1.71975	-nan	4.54367	0.552643
ENSG00000104856	0.550603	0.00152225	0.602087	0.504315	83.6853	11	2.50829	13.6893	7.34446	0.487735
ENSG00000139083	0.219224	0.000312672	0.23989	0.198249	66.6506	10	0.940511	2.23342	2.76678	0.20183
ENSG00000179456	0.581744	0.00244206	0.644371	0.519796	66.7817	13	2.28596	9.18504	7.43197	0.480509
ENSG00000105516	0.537273	0.0029812	0.616751	0.472488	12.3577	12	2.37842	13.2459	8.13981	0.36549
ENSG00000115415	0.577424	-nan	0.655303	0.50964	3721.27	11	3.22019	-nan	7.97365	0.869347
ENSG00000111145	0.564981	0.00229896	0.633382	0.505791	23.7209	11	1.78529	4.7993	5.74696	0.353862
ENSG00000128272	0.515208	0.00314217	0.594852	0.452963	357.773	14	2.77905	10.1072	7.04913	0.711856
ENSG00000162772	0.567315	0.00273744	0.626883	0.505081	184.829	12	2.10401	6.41845	5.05778	0.393702
ENSG00000118922	0.718237	0.0127914	0.847401	0.57594	92.1528	9	2.54243	9.71184	7.26836	0.508414
ENSG00000134954	0.464881	-nan	0.51151	0.422347	658.338	10	2.68555	-nan	6.81231	0.566062
ENSG00000105698	0.54813	0.00392701	0.649334	0.477142	93.3649	12	1.96885	7.41609	6.13522	0.329448
ENSG00000171163	0.622686	0.0033714	0.706417	0.538615	16.9447	10	3.02713	14.875	10.4102	0.412971
ENSG00000105967	0.378176	-nan	0.419411	0.345897	253.929	11	1.78019	-nan	5.18423	0.514916
ENSG00000163666	0.531647	0.00274258	0.603736	0.44698	34.7906	10	2.43427	9.69518	8.10406	0.299005
ENSG00000067082	0.665796	-nan	0.750901	0.578509	690.047	11	3.23516	-nan	10.3095	0.789759
ENSG00000204231	0.608446	0.00243036	0.687138	0.544738	61.541	14	3.49202	34.6728	14.353	0.435132
ENSG00000204304	0.489261	0.00253688	0.567546	0.41566	112.241	13	2.75743	16.4164	10.3351	0.371738
ENSG00000198081	0.551165	-nan	0.628323	0.473908	36.6848	12	2.62282	-nan	6.98615	0.931835
ENSG00000025156	0.553785	-nan	0.61926	0.498445	14.7628	13	2.64428	-nan	9.04097	0.519357
ENSG00000103495	0.631326	0.00442009	0.725701	0.544642	98.722	11	2.50535	12.6542	9.60709	0.384109
ENSG00000140044	0.610003	0.00844999	0.735775	0.500278	8.84891	9	3.17079	14.1512	9.66893	0.428432
